error,pos,correction,error phrase,correct phrase,num of this error-correction phrase occur,num of this error-correction pair occur,collocation,category of collocation,total num of error time this error-correction pairs fall into this collocation category,unique num of error-correction pairs fall into this collocation category,total num of error occur,error_collocation,correction_collocation
do,VERB,have,do dinner,have dinner,3,316,dinner,Food Generally,13,7,1814,4,199
watch,VERB,see,watch photo,see photo,3,522,photo,"Recording Sound, Listening to the Radio, etc",7,2,641,0,22
contain,VERB,include,contain system,include system,3,55,system,"Resemblance, Difference, and Change",5,2,102,0,152
write,VERB,compose,write letter,compose letter,3,45,letter,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",25,7,222,2,13
big,ADJ,great,big confidence,great confidence,3,131,confidence,"Possibility, Chance, and Necessity",14,8,500,0,72
too much,ADV,very,too much cold,very cold,3,15,cold,Friendship and Enmity,5,3,26,0,21
then,ADV,there,then have,there have,3,5,have,"Belonging and Owning, Getting and Giving",4,2,75,0,45
big,ADJ,great,big fortune,great fortune,3,131,fortune,"Possibility, Chance, and Necessity",14,8,500,0,16
watch,VERB,see,watch play,see play,3,522,play,"Drama, the Theatre, and Show Business",27,9,641,1,70
too,ADV,very,too soon,very soon,3,259,soon,misc-ap-0,28,16,915,2,152
too,ADV,very,too disappointed,very disappointed,3,259,disappointed,misc-ap-0,28,16,915,0,16
big,ADJ,large,big quantity,large quantity,3,123,quantity,"Size, Importance, and Availability",46,3,500,0,348
either,ADV,too,either help,too help,3,83,help,Doing Things,5,3,89,1,98
big,ADJ,significant,big opportunity,significant opportunity,3,27,opportunity,"Possibility, Chance, and Necessity",4,2,500,0,34
watch,VERB,see,watch woman,see woman,3,522,woman,Animals/ Mammals,10,8,641,0,173
do,VERB,have,do patience,have patience,3,316,patience,"Relaxation, Excitement, Interest, and Surprise",4,2,1814,0,103
well,ADV,good,well time,good time,3,410,time,Music and Related Activities,11,5,744,0,903
tell,VERB,inform,tell people,inform people,3,97,people,People,11,6,725,1,45
too,ADV,very,too early,very early,3,259,early,"General, Usual, Unusual, etc",29,10,915,1,163
become,VERB,have,become feeling,have feeling,3,56,feeling,Feeling and Behavior Generally,4,2,786,0,690
watch,VERB,see,watch word,see word,3,522,word,Communication and Information,97,14,641,3,14
yet,ADV,still,yet remain,still remain,3,168,remain,"Moving, Coming, and going",6,4,286,5,11
become,VERB,have,become hangover,have hangover,3,56,hangover,misc-ap-0,8,6,786,0,12
cheap,ADJ,cheaply,cheap sell,cheaply sell,3,30,sell,Commerce,15,6,50,0,28
tell,VERB,give,tell opinion,give opinion,3,111,opinion,"Thinking, Judging and Remembering-",13,3,725,0,80
watch,VERB,see,watch fish,see fish,3,522,fish,Living Creatures Generally,12,5,641,1,17
use,VERB,wear,use uniform,wear uniform,3,123,uniform,Clothes and Personal Belongings,61,20,559,0,257
clear,ADJ,clean,clear air,clean air,3,38,air,"Communicating, mainly by Speaking and Talking",4,2,65,7,29
well,ADV,good,well feeling,good feeling,3,410,feeling,Feeling and Behavior Generally,8,4,744,0,135
watch,VERB,see,watch painting,see painting,3,522,painting,Arts and Crafts,18,10,641,0,15
entry,NOUN,enter,entry contest,enter contest,3,82,contest,Sports and Games Generally,18,6,108,6,60
cheep,VERB,cheap,cheep cost,cheap cost,3,64,cost,Commerce,11,4,64,0,11
entry,NOUN,enter,entry market,enter market,3,82,market,Shopping and General Expenses,5,3,108,2,582
choice,NOUN,choose,choice country,choose country,3,177,country,Social Organization in Group and Places,5,3,198,0,13
use,VERB,spend,use dollar,spend dollar,3,106,dollar,Money,49,3,559,0,211
approach,NOUN,achieve,approach goal,achieve goal,3,6,goal,"Rightness, Fairness, Purpose, Use, & Strength",5,3,15,0,531
apply,VERB,take,apply holiday,take holiday,3,7,holiday,misc-ap-0,4,2,27,0,50
too,ADV,very,too beautiful,very beautiful,3,259,beautiful,Linking and Not Linking,16,4,915,0,64
big,ADJ,great,big stress,great stress,3,131,stress,"Relaxation, Excitement, Interest, and Surprise",5,3,500,0,27
act,VERB,play,act character,play character,3,61,character,People,8,5,90,1,196
as well,ADV,either,as well understand,either understand,3,100,understand,Knowing and Learning,11,7,124,0,17
weight,NOUN,weigh,weight ton,weigh ton,2,28,ton,Measurement,5,3,28,0,14
use,VERB,wear,use watch,wear watch,2,123,watch,"Equipment, Machines, and Instruments",9,3,559,2,18
set,VERB,put,set light,put light,2,21,light,"Equipment, Machines, and Instruments",6,5,136,4,28
do,VERB,have,do barbecue,have barbecue,2,316,barbecue,Food Generally,13,7,1814,0,15
bring,VERB,take,bring student,take student,2,506,student,misc-ap-0,32,24,699,0,56
keep,VERB,have,keep passion,have passion,2,45,passion,Entertainment Generally,3,2,311,0,57
do,VERB,have,do wedding,have wedding,2,316,wedding,"Courting, Sex, and Marriage",8,6,1814,7,23
know,VERB,hear,know music,hear music,2,112,music,misc-ap-0,8,7,1380,0,115
make,VERB,have,make man,have man,2,536,man,Animals/ Mammals,26,6,4016,1,211
keep,VERB,have,keep day,have day,2,45,day,Periods of Time and their Measurement,3,2,311,9,450
join,VERB,attend,join reception,attend reception,2,828,reception,"Moving, Coming, and going",11,6,1077,0,56
use,VERB,make,use water,make water,2,6,water,Specific Substance and Materials,3,2,559,3,36
shot,VERB,shoot,shot movie,shoot movie,2,22,movie,Communication and Information,3,2,34,0,43
make,VERB,have,make tooth,have tooth,2,536,tooth,Animals/ Mammals,26,6,4016,0,13
use,VERB,wear,use veil,wear veil,2,123,veil,Clothes and Personal Belongings,61,20,559,0,18
make,VERB,give,make pleasure,give pleasure,2,337,pleasure,Happiness and Sadness,7,6,4016,2,14
introduce,VERB,describe,introduce trip,describe trip,2,37,trip,Travel and Visiting,11,2,87,0,13
bring,VERB,take,bring shoe,take shoe,2,506,shoe,Vehicles and Transport on Land,23,8,699,0,18
bring,VERB,get,bring gas,get gas,2,41,gas,Specific Substance and Materials,5,4,699,0,22
it'really,ADV,really,it'really hard,really hard,2,7,hard,"General, Usual, Unusual, etc",4,2,7,0,69
unique,ADJ,only,unique place,only place,2,7,place,Places,4,2,15,9,11
bring,VERB,take,bring paper,take paper,2,506,paper,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",20,8,699,6,22
bring,VERB,give,bring organization,give organization,2,19,organization,Causing,3,2,699,0,23
join,VERB,do,join activity,do activity,2,31,activity,Entertainment Generally,5,2,1077,0,42
join,VERB,do,join job,do job,2,31,job,"Business, Work, and Employment",5,2,1077,0,3471
bring,VERB,take,bring rest,take rest,2,506,rest,Bodily States and Associated Activities,3,2,699,0,62
sew,VERB,see,sew people,see people,2,16,people,Social Organization in Group and Places,3,2,16,0,455
shack,VERB,shake,shack head,shake head,2,4,head,Food,3,2,4,0,360
shape,NOUN,have,shape shape,have shape,2,3,shape,Making things,3,2,4,0,34
just,ADV,very,just easy,very easy,2,6,easy,"General, Usual, Unusual, etc",5,4,151,6,132
just,ADV,only,just people,only people,2,45,people,People,4,3,151,0,440
make,VERB,get,make answer,get answer,2,117,answer,"Communicating, mainly by Speaking and Talking",3,2,4016,0,194
bring,VERB,take,bring drink,take drink,2,506,drink,Food Generally,33,6,699,0,26
join,VERB,attend,join dance,attend dance,2,828,dance,Music and Related Activities,47,10,1077,0,11
join,VERB,attend,join speech,attend speech,2,828,speech,"Communicating, mainly by Speaking and Talking",25,5,1077,0,20
way,NOUN,away,way throw,away throw,2,11,throw,"Putting and Taking, Pulling and Pushing",4,2,488,5,238
do,VERB,have,do dream,have dream,2,316,dream,Bodily States and Associated Activities,4,2,1814,0,171
keep,VERB,have,keep skin,have skin,2,45,skin,Music and Related Activities,4,2,311,8,44
keep,VERB,maintain,keep lifestyle,maintain lifestyle,2,122,lifestyle,misc-ap-0,18,6,311,0,15
make,VERB,become,make people,become people,2,15,people,People,3,2,4016,1,34
do,VERB,make,do resolution,make resolution,2,474,resolution,Causing,17,2,1814,0,28
several,ADJ,various,several people,various people,2,27,people,Social Organization in Group and Places,3,2,42,0,29
do,VERB,have,do fun,have fun,2,316,fun,Entertainment Generally,32,4,1814,0,708
bring,VERB,take,bring computer,take computer,2,506,computer,Mathematics,3,2,699,0,22
do,VERB,make,do cake,make cake,2,474,cake,Food,5,2,1814,0,36
join,VERB,attend,join trial,attend trial,2,828,trial,Science and Technology,16,3,1077,0,73
bring,VERB,buy,bring shirt,buy shirt,2,14,shirt,Clothes and Personal Belongings,3,2,699,0,21
make,VERB,paint,make portrait,paint portrait,2,4,portrait,Arts and Crafts,3,2,4016,7,63
way,NOUN,thing,way right,thing right,2,25,right,Good and Evil,7,2,488,2,99
just,ADV,first,just see,first see,2,43,see,Knowing and Learning,5,2,151,1,17
train,VERB,hone,train skill,hone skill,2,3,skill,Knowing and Learning,3,2,48,0,64
so,ADV,too,so short,too short,2,134,short,"Size, Importance, and Availability",21,5,454,0,117
make,VERB,have,make horse,have horse,2,536,horse,Animals/ Mammals,26,6,4016,7,58
increase,NOUN,escalate,increase cost,escalate cost,2,10,cost,Commerce,4,2,65,3,43
well,ADV,good,well balance,good balance,2,410,balance,Knowing and Learning,25,6,744,0,31
hard,ADV,difficult,hard condition,difficult condition,2,48,condition,"Being, Becoming, and Happening",7,3,150,2,60
solve,VERB,do,solve homework,do homework,2,46,homework,misc-ap-0,8,5,192,0,229
practice,VERB,do,practice homework,do homework,2,123,homework,misc-ap-0,32,17,271,0,229
big,ADJ,great,big pain,great pain,2,131,pain,"Bodily Conditions Relating to Health, Sickness, and Disability",5,2,500,2,84
big,ADJ,great,big variety,great variety,2,131,variety,"Resemblance, Difference, and Change",3,2,500,3,51
well,ADV,good,well education,good education,2,410,education,Knowing and Learning,25,6,744,0,62
big,ADJ,great,big number,great number,2,131,number,Mathematics,7,3,500,0,331
have,VERB,take,have action,take action,2,110,action,Courts of Law and Legal Work,13,2,2936,0,21
have,VERB,bring,have happiness,bring happiness,2,7,happiness,Happiness and Sadness,4,3,2936,0,13
have,VERB,do,have homework,do homework,2,253,homework,misc-ap-0,31,21,2936,8,229
have,VERB,get,have advice,get advice,2,235,advice,"Communicating, mainly by Speaking and Talking",5,3,2936,0,84
well,ADV,good,well question,good question,2,410,question,Language,10,8,744,0,72
make,VERB,have,make entry,have entry,2,536,entry,"Moving, Coming, and going",4,3,4016,1,29
big,ADJ,great,big pride,great pride,2,131,pride,"Admiration, Pride, Contempt, and Abuse",4,3,500,0,47
so far,ADV,before,so far work,before work,2,47,work,Doing Things,3,2,66,0,62
too,ADV,very,too handsome,very handsome,2,259,handsome,Linking and Not Linking,16,4,915,0,14
do,VERB,have,do quarrel,have quarrel,2,316,quarrel,Friendship and Enmity,8,3,1814,7,83
happy more,ADJ,happy,happy more people,happy people,2,9,people,People,3,2,9,0,26
happen,VERB,occur,happen accident,occur accident,2,13,accident,"Being, Becoming, and Happening",4,3,170,0,57
grow,VERB,raise,grow kid,raise kid,2,23,kid,People,24,5,102,9,49
many,ADJ,various,many kind,various kind,2,4,kind,"Being, Becoming, and Happening",3,2,516,2,57
sound,VERB,have,sound car,have car,2,6,car,Vehicles and Transport on Land,3,2,49,0,303
practice,VERB,play,practice saxophone,play saxophone,2,122,saxophone,misc-ap-0,10,6,271,0,20
great,ADJ,significant,great action,significant action,2,25,action,Doing Things,5,3,303,0,30
soon,ADV,quickly,soon sell,quickly sell,2,108,sell,Commerce,11,4,175,0,55
well,ADV,good,well game,good game,2,410,game,misc-ap-0,31,20,744,1,84
do,VERB,have,do sale,have sale,2,316,sale,Commerce,4,3,1814,0,1605
grow,VERB,raise,grow son,raise son,2,23,son,People,24,5,102,9,46
many,ADJ,numerous,many article,numerous article,2,150,article,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",13,5,516,0,21
soon,ADV,fast,soon run,fast run,2,3,run,"Moving, Coming, and going",3,2,175,1,34
do,VERB,have,do influence,have influence,2,316,influence,Causing,7,3,1814,0,592
soon,ADV,early,soon day,early day,2,24,day,Periods of Time and their Measurement,5,4,175,0,52
soon,ADV,quickly,soon pass,quickly pass,2,108,pass,"Moving, Coming, and going",29,10,175,3,24
guy,NOUN,people,guy most,people most,2,63,most,"Size, Importance, and Availability",14,3,94,0,15
well,ADV,good,well mood,good mood,2,410,mood,Grammar,5,4,744,0,46
practice,VERB,play,practice drum,play drum,2,122,drum,Music and Related Activities,45,10,271,0,49
make,VERB,create,make program,create program,2,161,program,Communication and Information,8,3,4016,2,205
so far,ADV,before,so far hear,before hear,2,47,hear,Courts of Law and Legal Work,3,2,66,0,144
prefer,VERB,like,prefer people,like people,2,37,people,Social Organization in Group and Places,3,2,80,0,218
hold,VERB,have,hold opinion,have opinion,2,56,opinion,"Thinking, Judging and Remembering-",3,2,120,1,356
so,ADV,very,so challenging,very challenging,2,180,challenging,misc-ap-0,25,18,454,2,13
make,VERB,open,make shop,open shop,2,16,shop,Shopping and General Expenses,3,2,4016,9,84
hold,VERB,have,hold feeling,have feeling,2,56,feeling,Feeling and Behavior Generally,11,4,120,7,690
big,ADJ,great,big progress,great progress,2,131,progress,"Moving, Coming, and going",5,3,500,3,46
problem,NOUN,issue,problem only,issue only,2,42,only,Numbers and Quantities,8,3,53,0,32
big,ADJ,great,big importance,great importance,2,131,importance,"Possibility, Chance, and Necessity",14,8,500,0,124
too much,ADV,so,too much sad,so sad,2,4,sad,Happiness and Sadness,3,2,26,0,54
make,VERB,have,make lesson,have lesson,2,536,lesson,misc-ap-0,76,42,4016,0,37
pretty,ADV,quite,pretty good,quite good,2,9,good,Weather and Temperature,3,2,43,0,110
make,VERB,do,make book,do book,2,1073,book,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",36,23,4016,1,57
make,VERB,have,make show,have show,2,536,show,"Showing, Hiding, Finding, Saving, and Similar Words",3,2,4016,0,235
do,VERB,have,do picnic,have picnic,2,316,picnic,Food Generally,13,7,1814,0,15
small,ADJ,young,small daughter,young daughter,2,5,daughter,People,6,3,112,8,191
big,ADJ,great,big sadness,great sadness,2,131,sadness,misc-ap-0,9,7,500,0,11
sill,ADV,still,sill want,still want,2,25,want,Feeling and Behavior Generally,4,2,30,0,23
make,VERB,have,make policy,have policy,2,536,policy,Commerce,7,6,4016,1,594
do,VERB,have,do holiday,have holiday,2,316,holiday,misc-ap-0,50,28,1814,0,22
well,ADV,good,well relationship,good relationship,2,410,relationship,"Cutting, Joining, Breaking, and Destroying",4,2,744,0,143
heathy,ADJ,healthy,heathy diet,healthy diet,2,15,diet,Food Generally,5,2,15,0,26
prepare,VERB,provide,prepare place,provide place,2,9,place,Travel and Visiting,3,2,100,2,38
do,VERB,have,do affair,have affair,2,316,affair,"Being, Becoming, and Happening",13,7,1814,0,265
remind,VERB,remember,remind scene,remember scene,2,97,scene,"Drama, the Theatre, and Show Business",3,2,105,0,12
so far,ADV,before,so far think,before think,2,47,think,"Thinking, Judging and Remembering-",13,3,66,0,22
prepare,VERB,make,prepare cake,make cake,2,8,cake,Food,4,2,100,4,36
make,VERB,encourage,make people,encourage people,2,5,people,People,4,3,4016,1,147
make,VERB,write,make sentence,write sentence,2,96,sentence,Language,4,3,4016,0,19
too,ADV,very,too regrettable,very regrettable,2,259,regrettable,misc-ap-0,28,16,915,0,13
high,ADJ,loud,high music,loud music,2,14,music,misc-ap-0,3,2,220,2,57
make,VERB,have,make environment,have environment,2,536,environment,Places,16,3,4016,0,54
high,ADJ,great,high importance,great importance,2,27,importance,"Possibility, Chance, and Necessity",4,2,220,9,124
do,VERB,make,do bow,make bow,2,474,bow,Music and Related Activities,8,5,1814,1,26
high,ADJ,great,high possibility,great possibility,2,27,possibility,"Possibility, Chance, and Necessity",4,2,220,2,15
high,ADJ,great,high influence,great influence,2,27,influence,Causing,11,2,220,0,118
well,ADV,improve,well skill,improve skill,2,19,skill,Knowing and Learning,3,2,744,0,66
so,ADV,very,so specific,very specific,2,180,specific,"General, Usual, Unusual, etc",32,8,454,8,11
too,ADV,very,too anxious,very anxious,2,259,anxious,Happiness and Sadness,15,6,915,0,40
make,VERB,give,make thing,give thing,2,337,thing,Objects Generally,3,2,4016,1,47
less,ADV,small,less amount,small amount,2,11,amount,"Size, Importance, and Availability",3,2,335,0,753
know,VERB,have,know skill,have skill,2,50,skill,Knowing and Learning,10,5,1380,2,240
look,VERB,see,look person,see person,2,165,person,People,7,4,371,0,40
ready,ADJ,read,ready news,read news,2,4,news,Communication and Information,3,2,40,0,35
real,ADJ,actual,real event,actual event,2,6,event,"Being, Becoming, and Happening",3,2,37,0,23
sale,NOUN,sell,sale shop,sell shop,2,65,shop,Shopping and General Expenses,7,4,94,0,18
sale,NOUN,sell,sale stuff,sell stuff,2,65,stuff,"Equipment, Machines, and Instruments",4,3,94,0,26
catch up,VERB,catch,catch up train,catch train,2,2,train,Vehicles and Transport on Land,3,2,9,0,15
really,ADV,truly,really significant,truly significant,2,134,significant,"Possibility, Chance, and Necessity",10,6,207,0,11
watch,VERB,see,watch light,see light,2,522,light,"Equipment, Machines, and Instruments",10,5,641,0,191
really,ADV,truly,really remarkable,truly remarkable,2,134,remarkable,"General, Usual, Unusual, etc",5,3,207,7,16
look,VERB,see,look eclipse,see eclipse,2,165,eclipse,The Universe,6,4,371,0,17
long,ADV,far,long have,far have,2,10,have,"Belonging and Owning, Getting and Giving",5,2,120,8,115
really,ADV,extremely,really useful,extremely useful,2,10,useful,"Rightness, Fairness, Purpose, Use, & Strength",3,2,207,9,15
ware,VERB,wear,ware dress,wear dress,2,49,dress,Clothes and Personal Belongings,34,13,57,0,151
look,VERB,see,look scene,see scene,2,165,scene,Geography,11,6,371,0,34
comprehend,VERB,understand,comprehend meaning,understand meaning,2,13,meaning,Communication and Information,3,2,15,1,24
catch up,VERB,understand,catch up word,understand word,2,2,word,"Communicating, mainly by Speaking and Talking",6,2,9,0,48
common,ADJ,normal,common person,normal person,2,31,person,People,3,2,283,0,42
receive,VERB,have,receive baby,have baby,2,9,baby,People,4,3,72,0,388
ware,VERB,wear,ware skirt,wear skirt,2,49,skirt,Clothes and Personal Belongings,34,13,57,0,46
catch,VERB,understand,catch word,understand word,2,41,word,Communication and Information,4,3,232,1,48
make,VERB,get,make team,get team,2,117,team,Sports and Games Generally,26,3,4016,1,80
use,VERB,play,use drum,play drum,2,3,drum,Music and Related Activities,27,3,559,1,49
little,ADJ,small,little store,small store,2,86,store,"Belonging and Owning, Getting and Giving",5,4,323,0,61
make,VERB,cause,make accident,cause accident,2,192,accident,"Being, Becoming, and Happening",61,4,4016,0,218
make,VERB,provide,make answer,provide answer,2,24,answer,"Communicating, mainly by Speaking and Talking",5,2,4016,0,106
reach,VERB,meet,reach requirement,meet requirement,2,4,requirement,Feeling and Behavior Generally,3,2,271,5,848
contain,VERB,include,contain sound,include sound,2,55,sound,"Rightness, Fairness, Purpose, Use, & Strength",11,4,102,0,12
visit,VERB,see,visit sight,see sight,2,8,sight,misc-ap-0,3,2,35,0,47
little,ADJ,few,little day,few day,2,98,day,Periods of Time and their Measurement,4,3,323,2,110
little,ADJ,small,little percentage,small percentage,2,86,percentage,Numbers and Quantities,7,2,323,0,289
contain,VERB,include,contain monitor,include monitor,2,55,monitor,misc-ap-0,9,7,102,0,19
watch,VERB,read,watch novel,read novel,2,7,novel,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",4,3,641,0,76
live,VERB,have,live lot,have lot,2,13,lot,Places,3,2,494,4,2199
make,VERB,take,make car,take car,2,183,car,Vehicles and Transport on Land,3,2,4016,1,87
ready,ADJ,already,ready do,already do,2,9,do,misc-ap-0,3,2,40,0,73
contain,VERB,include,contain health,include health,2,55,health,"Bodily Conditions Relating to Health, Sickness, and Disability",6,4,102,0,15
watch,VERB,see,watch result,see result,2,522,result,Sports and Games Generally,4,3,641,0,177
same,ADJ,similar,same idea,similar idea,2,31,idea,"Thinking, Judging and Remembering-",4,3,62,0,19
make,VERB,create,make mood,create mood,2,161,mood,Grammar,4,2,4016,3,35
catch,VERB,get,catch daughter,get daughter,2,34,daughter,People,5,3,232,0,14
live,VERB,leave,live hotel,leave hotel,2,8,hotel,Travel and Visiting,3,2,494,0,47
look,VERB,see,look accident,see accident,2,165,accident,Vehicles and Transport on Land,3,2,371,0,25
rise,VERB,raise,rise family,raise family,2,81,family,People,10,6,120,0,98
cause,VERB,have,cause consequence,have consequence,2,37,consequence,Causing,27,3,303,6,310
choice,NOUN,choose,choice time,choose time,2,177,time,Music and Related Activities,5,4,198,0,17
watch,VERB,see,watch image,see image,2,522,image,Arts and Crafts,18,10,641,8,63
make,VERB,get,make people,get people,2,117,people,People,3,2,4016,1,687
lower,VERB,reduce,lower time,reduce time,2,19,time,Music and Related Activities,3,2,29,3,65
lust,NOUN,last,lust year,last year,2,2,year,Periods of Time and their Measurement,3,2,2,0,121
cheep,VERB,cheap,cheep fare,cheap fare,2,64,fare,Commerce,11,4,64,0,87
request,NOUN,ask,request people,ask people,2,53,people,People,6,5,75,0,360
main,ADJ,major,main mistake,major mistake,2,9,mistake,"Rightness, Fairness, Purpose, Use, & Strength",3,2,82,0,45
choice,NOUN,choose,choice job,choose job,2,177,job,"Business, Work, and Employment",4,2,198,0,13
choice,NOUN,choose,choice theme,choose theme,2,177,theme,Language,12,4,198,0,13
watch,VERB,see,watch commercial,see commercial,2,522,commercial,Communication and Information,97,14,641,2,36
choice,NOUN,choose,choice government,choose government,2,177,government,Government,3,2,198,2,53
watch,VERB,see,watch color,see color,2,522,color,Light and Color,6,4,641,0,28
choice,NOUN,choose,choice place,choose place,2,177,place,Travel and Visiting,7,3,198,2,24
make,VERB,have,make brother,have brother,2,536,brother,People,81,13,4016,0,93
make,VERB,form,make band,form band,2,17,band,Social Organization in Group and Places,11,4,4016,9,26
request,NOUN,ask,request teacher,ask teacher,2,53,teacher,misc-ap-0,5,4,75,0,27
request,NOUN,ask,request question,ask question,2,53,question,Language,3,2,75,0,1278
make,VERB,shape,make attitude,shape attitude,2,5,attitude,Feeling and Behavior Generally,5,2,4016,0,11
ride,VERB,read,ride book,read book,2,4,book,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",3,2,129,0,480
reign,NOUN,rule,reign country,rule country,2,2,country,Social Organization in Group and Places,4,2,3,0,92
clash,VERB,crash,clash car,crash car,2,10,car,Vehicles and Transport on Land,3,2,10,0,45
make,VERB,get,make mark,get mark,2,117,mark,Money,3,2,4016,1,92
rise,VERB,raise,rise head,raise head,2,81,head,"Moving, Coming, and going",6,3,120,0,20
loose,VERB,lose,loose face,lose face,2,181,face,misc-ap-0,17,9,186,0,35
cause,VERB,have,cause date,have date,2,37,date,Travel and Visiting,3,2,303,0,158
loose,VERB,lose,loose temper,lose temper,2,181,temper,Feeling and Behavior Generally,7,3,186,0,45
loose,VERB,lose,loose pound,lose pound,2,181,pound,"Moving, Coming, and going",4,3,186,0,13
loose,VERB,lose,loose lot,lose lot,2,181,lot,Places,5,3,186,1,180
loose,VERB,lose,loose people,lose people,2,181,people,People,6,4,186,0,100
loose,VERB,lose,loose hair,lose hair,2,181,hair,Parts of Animals,5,4,186,0,33
watch,VERB,read,watch newspaper,read newspaper,2,7,newspaper,Communication and Information,3,2,641,0,203
loose,VERB,lose,loose life,lose life,2,181,life,Bodily States and Associated Activities,5,4,186,0,210
rise,VERB,raise,rise flag,raise flag,2,81,flag,"Equipment, Machines, and Instruments",4,2,120,0,144
reede,VERB,read,reede book,read book,2,6,book,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",3,2,6,0,480
loose,VERB,lose,loose time,lose time,2,181,time,Music and Related Activities,3,2,186,0,80
cheap,ADJ,cheaply,cheap make,cheaply make,2,30,make,Causing,5,3,50,0,11
make,VERB,have,make ability,have ability,2,536,ability,Knowing and Learning,6,5,4016,0,499
make,VERB,have,make rock,have rock,2,536,rock,Music and Related Activities,20,5,4016,0,18
lose,VERB,miss,lose appointment,miss appointment,2,122,appointment,misc-ap-0,6,5,232,0,14
catch,VERB,have,catch accident,have accident,2,13,accident,Vehicles and Transport on Land,4,2,232,0,122
make,VERB,cause,make pressure,cause pressure,2,192,pressure,Causing,3,2,4016,0,33
vest,NOUN,good,vest way,good way,2,10,way,Places,3,2,12,0,246
deferent,NOUN,different,deferent way,different way,2,27,way,Places,4,3,28,0,358
various,ADJ,different,various meaning,different meaning,2,94,meaning,Communication and Information,4,3,97,0,18
deliberately,ADV,carefully,deliberately consider,carefully consider,2,12,consider,misc-ap-0,4,3,13,0,34
secure,VERB,score,secure goal,score goal,2,2,goal,Sports and Games Generally,3,2,7,0,758
make,VERB,have,make team,have team,2,536,team,Sports and Games Generally,12,9,4016,1,324
make,VERB,have,make country,have country,2,536,country,Social Organization in Group and Places,51,11,4016,1,107
deferent,NOUN,different,deferent taste,different taste,2,27,taste,misc-ap-0,3,2,28,0,13
quite,ADV,quiet,quite time,quiet time,2,63,time,Music and Related Activities,3,2,119,0,42
quite,ADV,really,quite look,really look,2,11,look,"Being, Becoming, and Happening",7,2,119,3,35
deferent,NOUN,different,deferent feeling,different feeling,2,27,feeling,Feeling and Behavior Generally,3,2,28,0,12
leaf,VERB,leave,leaf many,leave many,2,49,many,"Size, Importance, and Availability",4,2,49,2,61
make,VERB,do,make survey,do survey,2,1073,survey,misc-ap-0,140,74,4016,0,133
quite,ADV,quiet,quite town,quiet town,2,63,town,Social Organization in Group and Places,4,3,119,0,23
watch,VERB,see,watch work,see work,2,522,work,Doing Things,5,2,641,0,86
decide,VERB,make,decide resolution,make resolution,2,15,resolution,Causing,5,2,42,0,28
lately,ADV,recently,lately talk,recently talk,2,165,talk,"Communicating, mainly by Speaking and Talking",9,4,169,4,17
lately,ADV,recently,lately take,recently take,2,165,take,Commerce,29,8,169,5,51
raise,VERB,rise,raise rate,rise rate,2,42,rate,Commerce,13,6,93,4,117
calm,NOUN,peaceful,calm place,peaceful place,2,3,place,Places,3,2,16,0,14
large,ADJ,great,large pressure,great pressure,2,42,pressure,Causing,3,2,145,0,78
make,VERB,have,make power,have power,2,536,power,Mathematics,14,8,4016,0,1556
various,ADJ,different,various taste,different taste,2,94,taste,misc-ap-0,15,12,97,0,13
make,VERB,have,make reason,have reason,2,536,reason,Causing,41,8,4016,0,1293
discus,NOUN,discuss,discus issue,discuss issue,2,13,issue,Language,5,3,13,6,663
know,VERB,find,know kind,find kind,2,383,kind,"Being, Becoming, and Happening",4,2,1380,0,61
send,VERB,have,send day,have day,2,7,day,Periods of Time and their Measurement,4,2,71,6,450
seem,VERB,see,seem movie,see movie,2,18,movie,Communication and Information,3,2,32,0,233
discus,NOUN,discuss,discus topic,discuss topic,2,13,topic,Language,5,3,13,0,52
know,VERB,see,know face,see face,2,86,face,misc-ap-0,13,10,1380,0,161
dose,VERB,do,dose man,do man,2,126,man,Social Classification and Situation,4,2,128,0,41
see,VERB,watch,see team,watch team,2,184,team,Sports and Games Generally,3,2,545,0,19
know,VERB,discover,know site,discover site,2,11,site,Places,3,2,1380,0,11
know,VERB,find,know message,find message,2,383,message,Communication and Information,26,8,1380,0,26
make,VERB,have,make supporter,have supporter,2,536,supporter,Sports and Games Generally,12,9,4016,0,57
make,VERB,do,make search,do search,2,1073,search,"Showing, Hiding, Finding, Saving, and Similar Words",36,9,4016,0,35
see,VERB,watch,see channel,watch channel,2,184,channel,Communication and Information,106,11,545,4,13
watch,VERB,see,watch attraction,see attraction,2,522,attraction,Linking and Not Linking,3,2,641,2,13
quiet,ADJ,quite,quiet difficult,quite difficult,2,8,difficult,Friendship and Enmity,3,2,49,0,20
lager,NOUN,large,lager scale,large scale,2,6,scale,Music and Related Activities,3,2,6,0,127
see,VERB,visit,see site,visit site,2,17,site,"Putting and Taking, Pulling and Pushing",4,2,545,0,124
care,VERB,carry,care child,carry child,2,7,child,People,3,2,162,3,68
leaf,VERB,leave,leaf more,leave more,2,49,more,"Size, Importance, and Availability",4,2,49,0,31
